Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Desarrolladores;Editores;Puntuacion_Usuario;Metascore;URL_Slug
JoJos Bizarre Adventure All-Star Battle R Deluxe Edition v09.02.2024;JoJo's Bizarre Adventure: All-Star Battle R;RAWG;2022.0;¡Todos los JOJOs Unidos! Conocido por sus carismáticos héroes, este juego reúne a los personajes más icónicos de JoJo's Bizarre Adventure de todas las partes para una explosiva acción de lucha.;https://media.rawg.io/media/games/6f3/6f34131554c961f0ff37ed476e939252.jpg;Action, Fighting;CyberConnect2 Co.;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US;3.65;;jojos-bizarre-adventure-all-star-battle-r
Jurassic World Evolution 2 v1.3.1.36069;Jurassic World Evolution 2;RAWG;2021.0;Basándose en la revolucionaria simulación de gestión de 2018, Jurassic World Evolution 2 profundiza la experiencia con más dinosaurios, nuevos biomas, mecánicas de gestión de parques ampliadas y una campaña narrativa.;https://media.rawg.io/media/games/647/64797fe9358aa3c7ddc4ff36f89e4382.jpg;Strategy, Simulation;Frontier Developments;Frontier Developments;3.46;;jurassic-world-evolution-2-2
Just Cause 2;Just Cause 2;RAWG;2010.0;Just Cause 2 sigue a Rico Rodríguez hasta la ficticia nación isleña de Panau, donde debe derrocar a un dictador y desenredar la red de tres facciones criminales rivales, causando el mayor caos glorioso posible.;https://media.rawg.io/media/games/a3c/a3c529a12c896c0ef02db5b4741de2ba.jpg;Action, Shooter;Square Enix, Avalanche Studios;Square Enix;3.62;84.0;just-cause-2
Killing Floor v22.03.2015;Killing Floor;RAWG;2009.0;En Killing Floor, forma parte de un equipo de fuerzas especiales luchando contra oleadas de máquinas de matar clonadas creadas por la corporación Horzine Biotech en localizaciones por todo un Reino Unido infestado de zombis.;https://media.rawg.io/media/games/806/8060a7663364ac23e15480728938d6f3.jpg;Action;Tripwire Interactive;Tripwire Interactive;3.45;72.0;killing-floor
Kingdoms of Amalur Reckoning;Kingdoms of Amalur: Reckoning;RAWG;2012.0;Kingdoms of Amalur: Reckoning tiene lugar en las Tierras de las Hadas, un rico mundo de fantasía. Eres la primera persona en ser resucitada de la muerte, inmune al destino: un poder que podría cambiar el destino de todo el mundo.;https://media.rawg.io/media/games/bad/bad95aa1f2edbbad2ae93981291b6560.jpg;Action, Adventure, RPG;Electronic Arts, Big Huge Games, 38 Studios;Electronic Arts, 38 Studios;3.61;81.0;kingdoms-of-amalur-reckoning
Kingdoms of Amalur Re-Reckoning Remasterizado v15032;Kingdoms of Amalur: Re-Reckoning;RAWG;2020.0;El exitoso RPG regresa, completamente remasterizado. De las mentes del autor R.A. Salvatore, el creador de Spawn Todd McFarlane y el diseñador de Elder Scrolls Ken Rolston, Re-Reckoning trae el juego original en formato mejorado.;https://media.rawg.io/media/games/31c/31c3bc7e7296ac5ec6cca8407cd992e4.jpg;Action, Adventure, RPG;Kaiko, Big Huge Games;THQ Nordic;3.41;72.0;kingdoms-of-amalur-re-reckoning
Left 4 Dead 2 v29.02.2024;Left 4 Dead 2;RAWG;2009.0;La supervivencia cooperativa continúa con un nuevo grupo de personajes. Los nuevos supervivientes se enfrentan a una nueva oleada de mutaciones en cinco campañas por el sur de los Estados Unidos infestado de zombis.;https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg;Action, Shooter;Valve Software, Turtle Rock Studios;Electronic Arts, Valve, Akella;4.1;89.0;left-4-dead-2
Legacy of Kain Soul Reaver 1 y 2 Remastered;Legacy of Kain: Soul Reaver 2;RAWG;2001.0;Soul Reaver 2 es la tercera entrega de la franquicia Legacy of Kain. Raziel continúa su búsqueda a través del tiempo para confrontar a Kain y descubrir la verdadera naturaleza de su destino y la historia de Nosgoth.;https://media.rawg.io/media/games/837/8375a78025f2f969743c8f4aaa0e9774.jpg;Action, Adventure, Platformer;Crystal Dynamics;Square Enix;3.91;77.0;legacy-of-kain-soul-reaver-2
LEGO Batman 2 DC Super Heroes MULTi11-ElAmigos;LEGO Batman 2 DC Super Heroes;RAWG;2012.0;Esta secuela de LEGO Batman está ambientada en el universo DC en LEGO. Superman y otros héroes de la Liga de la Justicia se unen a Batman y Robin para detener el plan de dominación mundial de Lex Luthor y el Joker.;https://media.rawg.io/media/games/3c1/3c139f67a73f0bf5ce0d8f2abf83c0d0.jpg;Action, Family;Traveller's Tales, TT Fusion;Feral Interactive, Warner Bros. Interactive;3.68;75.0;lego-batman-2
LEGO Lord of The Rings;LEGO The Lord of the Rings;RAWG;2012.0;LEGO El Señor de los Anillos recrea los eventos de la épica trilogía de Tolkien en formato LEGO, siguiendo a Frodo y la Comunidad del Anillo desde la Comarca hasta Mordor con humor, coleccionables y modo cooperativo.;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Action, Adventure;Warner Bros. Interactive, Traveller's Tales;Warner Bros. Interactive;3.56;80.0;lego-lord-of-the-rings
LEGO Marvel Super Heroes (incl. Update 4);LEGO Marvel Super Heroes;RAWG;2013.0;LEGO Marvel Super Heroes es un juego de acción y aventuras ambientado en el universo Marvel. Forma equipo con más de 150 personajes de Marvel, incluyendo Iron Man, Spider-Man y Hulk, para detener a Loki y su elenco de villanos.;https://media.rawg.io/media/games/a87/a8743bdee8627c55bb9f2f01b9136ac1.jpg;Action, Adventure, Family;Feral Interactive, Warner Bros. Interactive, Traveller's Tales;Feral Interactive, Warner Bros. Interactive;3.83;78.0;lego-marvel
Lies of P v1.5.0.0 H1;Lies of P: Overture;RAWG;2025.0;Lies of P: Overture es nuevo DLC para Lies of P, que sirve como precuela de la historia original y amplía el trágico mundo de Krat.;https://media.rawg.io/media/screenshots/8b3/8b3000e4e5320957018b52cd7a6e960e.jpg;Action, RPG;Round8 Studio;NEOWIZ;4.23;;lies-of-p-overture
Life is Strange - Double Exposure;Life is Strange: Double Exposure;RAWG;2024.0;Max Caulfield, fotógrafa residente en la prestigiosa Universidad de Caledon, debe usar de nuevo sus poderes de rebobinar el tiempo cuando una amiga es asesinada, obligándola a navegar dos líneas temporales paralelas para encontrar al asesino.;https://media.rawg.io/media/games/279/279a4377b3499615155908764e297e1c.jpg;Action, Adventure;Deck Nine Games;Square Enix;3.0;;life-is-strange-double-exposure
Little Misfortune v1.0;Little Misfortune;RAWG;2019.0;Little Misfortune es una historia interactiva centrada en la exploración y los personajes. Sigue a la pequeña Misfortune en su búsqueda de la felicidad eterna, guiada por una misteriosa voz, en un oscuramente caprichoso cuento para adultos.;https://media.rawg.io/media/games/669/6691144e293eebc308d86ca3c8317c5a.jpg;Adventure, Casual, Indie;Killmonday Games;Killmonday Games;3.96;57.0;little-misfortune
Little Nightmares II Enhanced Edition v21.10.2021;Little Nightmares II;RAWG;2021.0;Regresa al mundo del encantador horror. Controla a Mono, un niño atrapado en un mundo distorsionado por una siniestra señal proveniente de la Ciudad Pálida, acompañado por Six mientras resuelves puzles y te escabulles de perturbadores entornos.;https://media.rawg.io/media/games/c2a/c2a7dc4540eb79aaff7099ae691105d3.jpg;Action, Adventure, Platformer;Tarsier Studios;Bandai Namco Entertainment;4.37;82.0;little-nightmares-ii
Little Nightmares III;Little Nightmares III;RAWG;2025.0;Embárcate en una nueva aventura en el universo de Little Nightmares. Dos nuevos personajes —Low y Alone— deben trabajar juntos para escapar de la Espiral, un mundo de lugares retorcidos y peligrosos.;https://media.rawg.io/media/games/bc2/bc25f96263d3f206369fd16415688a53.jpg;Adventure, Arcade;Supermassive Games;Bandai Namco Entertainment, Bandai Namco Europe S.A.S.;3.3;;little-nightmares-iii
Little Nightmares Secrets of The Maw Capitulo 3;Little Nightmares: Secrets of the Maw;RAWG;2017.0;¿No tienes suficiente de Little Nightmares? Desvela todos los secretos del The Maw en una historia paralela narrada desde la perspectiva del Niño Fugitivo, que debe escapar del mismo buque pesadillesco que Six.;https://media.rawg.io/media/screenshots/fb2/fb271c7a445b0a92f5e1e090f2ff8d8b_Lqiiprp.jpg;Action, Adventure, Platformer;Tarsier Studios;Bandai Namco Entertainment;3.91;;little-nightmares-secrets-of-the-maw-expansion-pas
Lords of the Fallen 2023;Lords of the Fallen;RAWG;2023.0;Lords of the Fallen presenta una nueva épica aventura RPG en un vasto mundo interconectado. Los jugadores deben atravesar tanto el mundo de los vivos como el aterrador reino de los muertos para derrotar a un oscuro dios resucitado.;https://media.rawg.io/media/games/12c/12c2fd04262732cb5e2e6ff378e1cc2d.jpg;Action, RPG;City Interactive, HEXWORKS, Hexaworks;CI Games, City Interactive;3.29;;lords-of-the-fallen-2
Lost Planet 3 Complete Edition;Lost Planet 3;RAWG;2013.0;Lost Planet 3 es un shooter de acción en tercera persona ambientado en el helado planeta E.D.N. III. Jim Peyton, un contratista, desvela los oscuros secretos de la gélida historia del planeta mientras lucha por sobrevivir contra los alienígenas Akrid.;https://media.rawg.io/media/games/e33/e33934ed780db4c2256bd02b280e5eb0.jpg;Action, Shooter;Capcom U.S.A, Spark Unlimited;Capcom;3.28;60.0;lost-planet-3
Mad Max-GOG;Mad Max;RAWG;2015.0;Aunque no está directamente basado en las películas, Mad Max captura su universo. Controla a Max Rockatansky, un guerrero solitario sobreviviendo en el páramo postapocalíptico, construyendo el legendario coche Magnum Opus para cruzar las Llanuras del Silencio.;https://media.rawg.io/media/games/d7d/d7d33daa1892e2468cd0263d5dfc957e.jpg;Action, Adventure;Avalanche Studios;Feral Interactive, Warner Bros. Interactive;3.78;73.0;mad-max
Madagascar;Madagascar;RAWG;2005.0;Basado en la película animada de DreamWorks, Madagascar te pone en la piel de Alex, Marty, Gloria y Melman mientras escapan del zoo y se encuentran varados en la salvaje isla de Madagascar.;https://media.rawg.io/media/games/a17/a17a5dc5590ff7ea719cb86c3f980bc2.jpg;Arcade, Platformer;Vicarious Visions, Toys for Bob, Beenox Studios;Activision Blizzard;3.95;73.0;madagascar
Mafia II Definitive Edition v18.06.2020;Mafia II: Definitive Edition;RAWG;2020.0;La segunda parte de la saga criminal Mafia, ambientada en el Empire Bay de los años 40-50. Remasterizado en impresionante detalle, sigue el ascenso de Vito Scaletta por el submundo criminal de una ciudad americana inspirada en la Nueva York de posguerra.;https://media.rawg.io/media/games/d73/d7364906c530ccc2d89b0b5d8695e03c.jpg;Action, Adventure;Hangar 13, d3t;2K Games;3.89;65.0;mafia-ii-definitive-edition
Mafia III Digital Edition v1.100.0 H1;Mafia III: Definitive Edition;RAWG;2020.0;Mafia III: Definitive Edition es la mejor manera de vivir la historia de Lincoln Clay. Un veterano de Vietnam regresa a New Bordeaux para reconstruir el bajo mundo criminal y vengarse de la mafia italiana que destruyó a su familia.;https://media.rawg.io/media/games/944/94497cb4d179b652ba8da2a52ab55a3e.jpg;Action, Adventure;Hangar 13, 2K Czech;2K Games;3.16;;mafia-iii-definitive-edition
Manor Lords v0.8.024.u4.Early.Access;Major\Minor - Complete Edition;RAWG;2016.0;Una joven descubre que puede cambiar entre dos mundos paralelos —el mundo Mayor y el Menor— cada uno plagado de amenazas únicas que debe superar para restaurar el equilibrio.;https://media.rawg.io/media/games/5b6/5b6cc8103be6bede31a26fa3f2d23c6b.jpg;Adventure, RPG, Simulation, Indie;Klace;Tall Tail Studios;0.0;;majorminor-complete-edition
Mario Kart 8;Kokiri Forest - Mario Kart 8 Level Design;RAWG;2022.0;Una pista personalizada creada para Mario Kart 8, basada en el Bosque Kokiri de The Legend of Zelda: Ocarina of Time. Un tributo de fans.;https://media.rawg.io/media/screenshots/b0e/b0e182edcc1568f484e1a3769ffa0b2a.jpg;Racing;Zoe Pilgrim;;0.0;;kokiri-forest-mario-kart-8-level-design
Mario Odissey;Alto's Odyssey;RAWG;2018.0;Justo más allá del horizonte se extiende un majestuoso desierto, vasto e inexplorado. Únete a Alto y sus amigos en un viaje por impresionantes dunas barridas por el viento, antiguos templos enterrados y vírgenes oasis en este corredor sin fin.;https://media.rawg.io/media/games/ff6/ff64f7b2a47d8b90987b5ceb530958e0.jpg;Action, Sports, Arcade;Noodlecake Studios, Snowman;Snowman;4.09;88.0;altos-odyssey
Mario vs. Donkey Kong;Shadowrun: Hong Kong;RAWG;2015.0;Sin sinopsis disponible.;https://media.rawg.io/media/games/fc8/fc87bf54afe1dc079c724658ecfdc1c6.jpg;RPG, Strategy;Harebrained Schemes;Harebrained Holdings;3.68;;shadowrun-hong-kong
Marvels Guardians of the Galaxy Deluxe Edition;Marvel's Guardians of the Galaxy;RAWG;2021.0;Despega en un loco viaje por el cosmos con una nueva perspectiva sobre los Guardianes de la Galaxia de Marvel. Juega como Peter Quill, el autoproclamado Star-Lord, liderando al bravucón pero adorable equipo contra una catástrofe galáctica.;https://media.rawg.io/media/games/708/7080e6c87e0825cb02888bf3c44b3889.jpg;Action, Shooter, Adventure;Eidos Montreal;Square Enix;4.29;;guardians-of-the-galaxy
Marvels Spider-Man Miles Morales;Marvel's Spider-Man: Miles Morales;RAWG;2020.0;En la última aventura del universo Marvel's Spider-Man, el adolescente Miles Morales se adapta a su nuevo hogar siguiendo los pasos de su mentor Peter Parker. Una nueva amenaza obliga a Miles a convertirse en su propio Spider-Man.;https://media.rawg.io/media/games/048/048b46cdc66cbc7e235e1f359c2a77ec.jpg;Action;Insomniac Games;Sony Interactive Entertainment, PlayStation PC;4.25;86.0;marvels-spider-man-miles-morales
Marvels Spider-Man Remastered;Marvel's Spider-Man;RAWG;2018.0;Marvel's Spider-Man permite al jugador encarnar al superhéroe más famoso de Marvel. Un Peter Parker más experimentado se enfrenta a una conspiración de poderosos villanos que amenazan la ciudad de Nueva York.;https://media.rawg.io/media/games/9aa/9aa42d16d425fa6f179fc9dc2f763647.jpg;Action;Insomniac Games;Sony Interactive Entertainment;4.45;87.0;marvels-spider-man
Max Payne 3 Complete Edition;Max Payne 3;RAWG;2012.0;En Max Payne 3, Max se ve desde una nueva perspectiva: nueve años después de los eventos de los primeros juegos, trabaja como seguridad privada en São Paulo. Su pasado lo alcanza en un brutal thriller de acción con mecánicas de Bullet Time.;https://media.rawg.io/media/games/5bf/5bf88a28de96321c86561a65ee48e6c2.jpg;Action, Shooter;Rockstar Games;Rockstar Games;4.26;87.0;max-payne-3
Medal of Honor 2010;Medal of Honor;RAWG;2010.0;Medal of Honor (2010) es un shooter en primera persona con modos individual y multijugador. Como operativo de nivel 1, combate en las montañas de Afganistán en una historia basada en las modernas operaciones de fuerzas especiales.;https://media.rawg.io/media/games/106/1069e754e7e6012b0cf42b4b04704792.jpg;Shooter;Electronic Arts DICE, Danger Close Games;Electronic Arts;3.28;72.0;medal-of-honor
Medal of Honor Airborne;Medal of Honor: Airborne;RAWG;2007.0;Ponte en la piel de Boyd Travers, Soldado de Primera Clase de la 82ª División Aerotransportada. Aterriza en cualquier lugar de los vastos entornos bélicos, eligiendo tu propio punto de entrada en cada misión de la Segunda Guerra Mundial.;https://media.rawg.io/media/games/0d4/0d4508d6383dd6c63256b41f0aa35e6b.jpg;Shooter;Electronic Arts Los Angeles;Electronic Arts;3.7;78.0;medal-of-honor-airborne-2
Medal of Honor Allied Assault;Medal of Honor: Allied Assault;RAWG;2002.0;Sin sinopsis disponible.;https://media.rawg.io/media/games/8eb/8ebcb680e97bf8172a0b758f60e1e53d.jpg;Shooter;2015;Electronic Arts;4.17;91.0;medal-of-honor-allied-assault
Medal of Honor Allied Assault War Ches;Medal of Honor: Allied Assault War Chest;RAWG;2004.0;Forma parte de un equipo de Rangers del Ejército que lucha por territorio enemigo en la Segunda Guerra Mundial. La War Chest incluye el juego original más las expansiones Spearhead y Breakthrough.;https://media.rawg.io/media/screenshots/909/909ca5ccc4fe379e7da5ef0c477aa918.jpg;Shooter;Electronic Arts;Electronic Arts;4.0;;medal-of-honor-allied-assault-war-chest
Medal of Honor Pacific Assault;Medal of Honor: Pacific Assault;RAWG;2004.0;Medal of Honor Pacific Assault te pone en la piel de un soldado de la Segunda Guerra Mundial en el teatro del Pacífico. Combate en Pearl Harbor, Guadalcanal y Tarawa en un shooter en primera persona impulsado por la historia con comandos de escuadrón.;https://media.rawg.io/media/games/775/77548bc36660d2d86cc91142148d5a9c.jpg;Shooter;Electronic Arts Los Angeles, TKO Software;Electronic Arts;3.76;80.0;medal-of-honor-pacific-assault
Medal of Honor Warfighter;Medal of Honor: Warfighter;RAWG;2012.0;Medal of Honor Warfighter es un shooter en primera persona con operaciones militares encubiertas de nivel 1. Juega como operativos de fuerzas especiales globales combatiendo amenazas terroristas en puntos calientes del mundo real.;https://media.rawg.io/media/games/92e/92e1a182fc8eda23da91f6a0c9ccd5c6.jpg;Action, Shooter;Electronic Arts, Danger Close Games;Electronic Arts;3.07;54.0;medal-of-honor-warfighter
Metal Gear Rising- Revengeance v(07.03.2014) + Update 2;Metal Gear Rising: Revengeance;RAWG;2013.0;Cuatro años después de los eventos de Metal Gear Solid 4, el ninja cibernético Raiden lucha por la justicia en un mundo de empresas militares privadas, despedazando enemigos con su katana de alta frecuencia en una acción desmesurada.;https://media.rawg.io/media/games/8e6/8e699e91cf77c2060b6d515e2135b1b1.jpg;Action;Platinum Games;Konami;4.25;83.0;metal-gear-rising-revengeance
Metal Gear Solid Delta Snake Eater Deluxe Edition (2025) v1.1.1;Metal Gear Solid Delta: Snake Eater;RAWG;2025.0;Descubre la historia de origen del icónico operativo militar Snake y comienza a desentrañar la compleja historia del universo Metal Gear en este remake completo del original Snake Eater.;https://media.rawg.io/media/games/1c0/1c0548b761f7c4e4c0da71172b3362bf.jpg;Action;Virtuos Games;Konami;3.69;;metal-gear-solid-delta-snake-eater
Metal Gear Solid Master Collection Vol.1;Metal Gear Solid Master Collection Vol. 1;RAWG;2023.0;El origen de la acción sigilosa regresa. Metal Gear Solid Master Collection Vol. 1 reúne los tres primeros juegos principales de Metal Gear Solid más títulos clásicos adicionales en un solo paquete.;https://media.rawg.io/media/games/565/565f65a11d90cc883f7b815a29eb7f02.jpg;Action;Konami Digital Entertainment;Konami, Konami Entertainment;3.55;;metal-gear-solid-master-collection-vol-1
Metal Gear Solid Peace Walker;Metal Gear Solid;RAWG;1998.0;Eres Snake, un agente del gobierno en una misión para recuperar el control de una instalación secreta de eliminación de residuos nucleares tomada por una unidad de fuerzas especiales renegada que amenaza con lanzar un ataque nuclear.;https://media.rawg.io/media/games/bbc/bbce6f1659d35ffc16aed8b66e9990a1.jpg;Action;Konami Computer Entertainment Japan;Sony Computer Entertainment, Konami;4.4;94.0;metal-gear-solid-1
Metal Gear Solid V Ground Zeroes v1.0.0.5;Metal Gear Solid V: Ground Zeroes;RAWG;2014.0;Metal Gear Solid V: Ground Zeroes es un prólogo independiente para The Phantom Pain. Big Boss se infiltra en el Campamento Omega para rescatar a Paz y Chico, poniendo en marcha los trágicos eventos que siguen.;https://media.rawg.io/media/games/7ac/7aca7ccf0e70cd0974cb899ab9e5158e.jpg;Action, Shooter;Kojima Productions;Konami;3.91;80.0;metal-gear-solid-v-ground-zeroes
Metal Gear Solid V The Phantom Pain 1.15;Metal Gear Solid V: The Phantom Pain;RAWG;2015.0;Metal Gear Solid 5 continúa la historia desde Ground Zeroes. Big Boss despierta de un coma de nueve años y emprende una misión de venganza en el Afganistán de los años 80, comandando la empresa mercenaria Diamond Dogs desde la Base Madre.;https://media.rawg.io/media/games/490/49016e06ae2103881ff6373248843069.jpg;Action, Shooter;Kojima Productions;Konami;4.16;91.0;metal-gear-solid-v-the-phantom-pain
Middle-earth - Shadow of War v1.20 4K (2160p) DEFINITIVE Edition;Middle-earth: Shadow of War;RAWG;2017.0;Middle-earth: Shadow of War es la continuación de Shadow of Mordor. Talion y el espíritu de Celebrimbor forjan un nuevo Anillo de Poder para levantar un ejército y conquistar Mordor, pero el poder siempre tiene un precio.;https://media.rawg.io/media/games/21a/21ad672cedee9b4378abb6c2d2e626ee.jpg;Action, RPG;Warner Bros. Interactive, Monolith Productions;Warner Bros. Interactive, WB Games;3.86;82.0;middle-earth-shadow-of-war
Might and Magic- Clash of Heroes;Might and Magic Clash of Heroes;RAWG;2009.0;Might & Magic: Clash of Heroes es un spin-off de la saga que presenta combate estratégico basado en puzles. Combina tropas de colores iguales para formar poderosos ataques y desbloquea el secreto de los demonios del Caos que amenazan el mundo.;https://media.rawg.io/media/games/d46/d460c5c8a9e417ef302ebbc0bb946b26.jpg;RPG, Strategy, Puzzle;Ubisoft, Capybara Games;Ubisoft Entertainment;3.91;76.0;might-and-magic-clash-of-heroes
Minecraft v1.21;Minecraft;RAWG;2009.0;Uno de los juegos más populares de la década de 2010, Minecraft te permite construir virtualmente cualquier cosa en un mundo generado proceduralmente. Sobrevive la noche, explora cuevas, lucha contra monstruos y da rienda suelta a tu creatividad ilimitada.;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Simulation, Arcade, Massively Multiplayer, Indie;4J Studios, Mojang;Microsoft Studios, Mojang;4.44;83.0;minecraft
Minijuegos;Minijuegos;RAWG;2021.0;Un juego con minijuegos sencillos.;https://media.rawg.io/media/screenshots/e92/e921640ff09db41cdd644b7429967fc0.jpg;;Enrique31;;0.0;;minijuegos
Monster Hunter Rise Deluxe Edition;Monster Hunter Rise;RAWG;2021.0;Ambientado en la tierra de inspiración ninja del Pueblo de Kamura, explora exuberantes ecosistemas y lucha contra temibles monstruos. Forma equipo con hasta cuatro cazadores, o aventúrate solo con tus leales compañeros Palamute y Palico.;https://media.rawg.io/media/games/dbb/dbba6100aae179b5f24052c9141d426d.jpg;Action, RPG;Capcom;Capcom;4.21;87.0;monster-hunter-rise
Monster Hunter Stories 2 Wings of Ruin Deluxe Edition;Monster Hunter Stories 2: Wings of Ruin;RAWG;2021.0;Monster Hunter Stories 2 mezcla el mundo RPG con el de Monster Hunter. Incuba y cría monstruos llamados Monsties como compañeros, y desvela el misterio de un evento catastrófico vinculado a un legendario Rathalos.;https://media.rawg.io/media/games/f79/f79662d3267e50434ab6c674d47aa1f1.jpg;Adventure, RPG;Capcom;Capcom;3.89;82.0;monster-hunter-stories-2-wings-of-ruin
Monster.Hunter.World.Deluxe.Edition.MULTi12-ElAmigos;Baobabs Mausoleum Ep. 1 Ovnifagos Don´t Eat Flamingos;RAWG;2017.0;El pueblo de Flamingo's Creek es un lugar que parece ser diferente para cada persona. Únete al agente del FBI Watracio Walpurgis en una surrealista aventura llena de humor y giros inesperados.;https://media.rawg.io/media/screenshots/50b/50b96fce25b0f592775e46e4adceb086.jpg;Adventure, RPG, Indie;Celery Emblem™, Celery Emblem;Zerouno Games;3.22;69.0;baobabs-mausoleum-ep-1-ovnifagos-don-t-eat-flaming
Mortal Kombat Komplete Edition;Mortal Kombat Komplete Edition;RAWG;2013.0;Mortal Kombat Komplete Edition es la quintaesencia de las peleas dinámicas, sangrientas y violentas. Incluye todos los personajes y contenido DLC del reinicio de 2011 que retoma la historia de la trilogía MK original.;https://media.rawg.io/media/games/297/297a51aa1f0999016d5a35e2e1d6d8ab.jpg;Arcade, Fighting;NetherRealm Studios, High Voltage Software;Warner Bros. Interactive;4.12;82.0;mortal-kombat-komplete-edition
Mount & Blade II - Bannerlord v1.2.12.54620;Mount & Blade II: Bannerlord;RAWG;2022.0;Los cuernos suenan, los cuervos se congregan. Un imperio desgarrado por la guerra civil. Construye tu propio reino desde cero, recluta y comanda vastos ejércitos, asedia castillos y da forma al destino de Calradia en este RPG de estrategia medieval en mundo abierto.;https://media.rawg.io/media/games/0aa/0aa81c3f82acec65b44e854352522cd6.jpg;Action, RPG, Strategy, Simulation;TaleWorlds Entertainment;TaleWorlds Entertainment;4.22;78.0;mount-blade-ii-bannerlord
Murdered Soul Suspect MULTi7-PROPHET;Murdered: Soul Suspect;RAWG;2014.0;Un dedicado detective es asesinado a tiros por un asesino en serie pero queda atrapado como fantasma, incapaz de cruzar al otro lado hasta resolver su propio asesinato. Usa poderes sobrenaturales para investigar escenas del crimen e influir en los vivos.;https://media.rawg.io/media/games/54a/54a3e4c617217848dc43c4de9989fe37.jpg;Action, Adventure, RPG;Square Enix, Airtight Games;Square Enix;3.47;59.0;murdered-soul-suspect
Naruto Shippuden - Ultimate Ninja Storm 3 Full Burst HD-CODEX;NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst;RAWG;2013.0;La 4ª Gran Guerra Ninja continúa. Ultimate Ninja STORM 3 ha sido completamente remasterizado en HD, con batallas masivas, el nuevo sistema del Medidor de Storm y el conflicto completo de las Cinco Grandes Naciones.;https://media.rawg.io/media/screenshots/0df/0df4aff421976b2a84d840faefb04124.jpg;Action, Adventure, Fighting;BANDAI NAMCO Entertainment America, CyberConnect2 Co.;Bandai Namco Entertainment;3.98;80.0;naruto-shippuden-ultimate-ninja-storm-3-full-burst
Naruto Shippuden - Ultimate Ninja Storm 4 v1.08 +Update 1.09 (06.08.2020);NARUTO SHIPPUDEN: Ultimate Ninja STORM 4;RAWG;2016.0;La última entrega de la aclamada saga STORM te lleva en un colorido y detallado viaje por el mundo de Naruto, culminando con las climáticas batallas de la Cuarta Gran Guerra Ninja.;https://media.rawg.io/media/games/b1f/b1f0b19226228555d8b93b2f42b22349.jpg;Action, Fighting;CyberConnect2 Co.;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US;4.02;80.0;naruto-shippuden-ultimate-ninja-storm-4
Naruto Shippuden Ultimate Ninja STORM Revolution;NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution;RAWG;2014.0;La revolucionaria saga STORM regresa con NSUNSR, que incluye nuevas Técnicas Secretas Combinadas, nuevos personajes jugables y una historia original que revela el origen de los Akatsuki.;https://media.rawg.io/media/games/c5a/c5a7912a602518cb921324785fa73703.jpg;Action, Adventure, Fighting;BANDAI NAMCO Entertainment America, CyberConnect2 Co.;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US;3.6;61.0;naruto-storm-r
Naruto to Boruto Shinobi Striker;NARUTO TO BORUTO: SHINOBI STRIKER;RAWG;2018.0;Un juego de acción en línea de 4 contra 4 ambientado en el universo Naruto. Combate con equipos usando roles ninja únicos y ataques en combinación. La Edición Deluxe incluye personajes adicionales y contenido DLC.;https://media.rawg.io/media/screenshots/b56/b56c8500b4760e23ccc1f42e4f10a642.jpg;Action;BANDAI NAMCO Entertainment America, Soleil;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US;3.04;62.0;naruto-to-boruto-shinobi-striker
Naruto X Boruto Ultimate Ninja Storm Connections;Naruto x Boruto: Ultimate Ninja Storm Connections;RAWG;2023.0;El último juego Ninja Storm de Bandai Namco conecta los universos de Naruto y Boruto, con una extensa plantilla de personajes que abarca generaciones y una nueva historia original exclusiva del juego.;https://media.rawg.io/media/screenshots/d35/d3536ff5243b0720b863dda14dd40bdf.jpg;Action, Adventure, Fighting;CyberConnect2 Co.;Bandai Namco Entertainment;3.33;;naruto-x-boruto-ultimate-ninja-storm-connections
Need for Speed Carbon;Need For Speed Carbon;RAWG;2006.0;Need for Speed Carbon lleva las carreras callejeras a un nuevo nivel con duelos en cañones, batallas de equipo y mecánicas de control de territorio por la ficticia ciudad de Palmont.;https://media.rawg.io/media/games/35f/35f815a22c4678b4fe76073f0f56df8e.jpg;Racing, Arcade;Electronic Arts Black Box, Rovio Mobile;Electronic Arts;3.94;77.0;need-for-speed-carbon
Need for Speed Heat v1.0.60.7040;Need for Speed Heat;RAWG;2019.0;Hustle de día y arrisca todo de noche. En Need for Speed Heat, compite legalmente en el Speedhunters Showdown de día para ganar dinero y desbloquear coches, y luego lánzate a la escena ilegal de noche para construir tu reputación.;https://media.rawg.io/media/games/370/3703c683968a54f09630dcf03366ea35.jpg;Racing, Arcade;Ghost Games;Electronic Arts;3.26;73.0;need-for-speed-heat
